mode,size_mb,run,rank,time_s
mpi,50,5,2,4.44146
mpi,50,5,3,4.39614
mpi,50,5,4,4.39149
mpi,50,5,5,3.86692
mpi,50,5,6,4.03284
mpi,50,5,7,4.40647
mpi,50,6,0,3.76067
mpi,50,6,1,4.29394
mpi,50,6,2,4.35288
mpi,50,6,3,3.89908
mpi,50,6,4,4.06527
mpi,50,6,5,4.35193
mpi,50,6,6,4.29787
mpi,50,6,7,4.31852
mpi,50,7,0,4.35593
mpi,50,7,1,4.08703
mpi,50,7,2,4.30892
mpi,50,7,3,4.36348
mpi,50,7,4,3.81228
mpi,50,7,5,4.22982
mpi,50,7,6,4.04123
mpi,50,7,7,4.3177
mpi,50,8,0,4.63253
mpi,50,8,1,4.60179
mpi,50,8,2,4.65959
mpi,50,8,3,4.64669
mpi,50,8,4,4.64151
mpi,50,8,5,4.16845
mpi,50,8,6,4.60462
mpi,50,8,7,4.46199
mpi,50,9,0,4.14898
mpi,50,9,1,4.36151
mpi,50,9,2,4.3229
mpi,50,9,3,4.37338
mpi,50,9,4,3.7442
mpi,50,9,5,4.34015
mpi,50,9,6,4.07952
mpi,50,9,7,4.31561
mpi,50,10,0,4.27632
mpi,50,10,1,4.3693
mpi,50,10,2,4.38745
mpi,50,10,3,4.27268
mpi,50,10,4,3.83037
mpi,50,10,5,4.35873
mpi,50,10,6,3.90959
mpi,50,10,7,4.38884
mpi,100,1,0,8.77598
mpi,100,1,1,7.7484
mpi,100,1,2,8.59669
mpi,100,1,3,7.8643
mpi,100,1,4,8.92257
mpi,100,1,5,8.18378
mpi,100,1,6,8.93614
mpi,100,1,7,8.87503
mpi,100,2,0,8.96474
mpi,100,2,1,9.29864
mpi,100,2,2,9.32642
mpi,100,2,3,9.27848
mpi,100,2,4,8.22473
mpi,100,2,5,9.18831
mpi,100,2,6,9.33173
mpi,100,2,7,8.48852
mpi,100,3,0,8.17753
mpi,100,3,1,9.17156
mpi,100,3,2,9.20966
mpi,100,3,3,9.20878
mpi,100,3,4,8.30289
mpi,100,3,5,9.13258
mpi,100,3,6,9.22429
mpi,100,3,7,9.06352
mpi,100,4,0,8.37697
mpi,100,4,1,8.31148
mpi,100,4,2,7.83298
mpi,100,4,3,8.39836
mpi,100,4,4,8.81869
mpi,100,4,5,8.82054
mpi,100,4,6,8.7691
mpi,100,4,7,8.75961
mpi,100,5,0,9.28036
mpi,100,5,1,8.15635
mpi,100,5,2,9.2471
mpi,100,5,3,9.05971
mpi,100,5,4,9.36136
mpi,100,5,5,8.49541
mpi,100,5,6,9.35872
mpi,100,5,7,9.23575
mpi,100,6,0,9.53312
mpi,100,6,1,9.5459
mpi,100,6,2,8.98981
mpi,100,6,3,9.54895
mpi,100,6,4,9.40212
mpi,100,6,5,9.55363
mpi,100,6,6,9.47501
mpi,100,6,7,8.57038
mpi,100,7,0,8.41335
mpi,100,7,1,8.92041
mpi,100,7,2,8.77223
mpi,100,7,3,8.9332
mpi,100,7,4,7.7087
mpi,100,7,5,8.78329
mpi,100,7,6,8.91773
mpi,100,7,7,7.91966
mpi,100,8,0,8.39484
mpi,100,8,1,9.04667
mpi,100,8,2,9.09527
mpi,100,8,3,9.09992
mpi,100,8,4,8.8499
mpi,100,8,5,9.06735
mpi,100,8,6,8.88122
mpi,100,8,7,7.92959
mpi,100,9,0,8.82497
mpi,100,9,1,9.02486
mpi,100,9,2,8.98235
mpi,100,9,3,9.01698
mpi,100,9,4,8.02654
mpi,100,9,5,8.86377
mpi,100,9,6,7.74032
mpi,100,9,7,8.90999
mpi,100,10,0,8.98527
mpi,100,10,1,8.89031
mpi,100,10,2,9.10323
mpi,100,10,3,7.90719
mpi,100,10,4,8.96018
mpi,100,10,5,8.53138
mpi,100,10,6,9.08107
mpi,100,10,7,8.44419
