mode,size_mb,run,ranks,time_io_max_s,time_alloc_max_s,time_sa_max_s,time_merge_s,time_lcp_s,time_lrs_scan_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
mpi,100,6,2,0.002445,0.000001,0.624176,0.171145,0.145574,0.002380,0.940895,0.943276,0.002505,5.061038,1.070758,53.537918,0.000104
mpi,100,7,2,0.002412,0.000001,0.626787,0.173166,0.148630,0.002406,0.948583,0.950991,0.002594,5.020019,1.062080,53.104001,0.000147
mpi,100,8,2,0.002596,0.000001,0.622301,0.174533,0.148428,0.002399,0.945263,0.947663,0.002411,5.037651,1.065810,53.290522,0.000155
mpi,100,9,2,0.002858,0.000001,0.624799,0.170583,0.142497,0.002388,0.937879,0.940268,0.002618,5.077313,1.074202,53.710077,0.000149
mpi,100,10,2,0.002459,0.000001,0.627288,0.170485,0.147153,0.002346,0.944926,0.947273,0.002480,5.039450,1.066191,53.309547,0.000148
mpi,200,1,2,0.004540,0.000001,1.360124,0.531357,0.401646,0.004988,2.293127,2.298116,0.004126,4.153198,1.010648,50.532404,0.000061
mpi,200,2,2,0.006661,0.000001,1.357667,0.414725,0.370097,0.004782,2.142489,2.147273,0.004154,4.445207,1.081706,54.085310,0.000065
mpi,200,3,2,0.005588,0.000001,1.383727,0.554307,0.405499,0.004976,2.343534,2.348511,0.004007,4.063867,0.988910,49.445505,0.000063
mpi,200,4,2,0.006570,0.000001,1.382136,0.407931,0.376113,0.004799,2.166179,2.170980,0.004012,4.396593,1.069876,53.493815,0.000064
mpi,200,5,2,0.004663,0.000001,1.390041,0.552565,0.395539,0.006219,2.338145,2.344365,0.003989,4.073234,0.991189,49.559467,0.000060
mpi,200,6,2,0.007078,0.000001,1.377788,0.504742,0.391452,0.004856,2.273982,2.278839,0.004132,4.188164,1.019157,50.957841,0.000065
mpi,200,7,2,0.004880,0.000002,1.593461,0.451716,0.377306,0.004806,2.422484,2.427292,0.004190,3.931423,0.956681,47.834039,0.000078
mpi,200,8,2,0.004613,0.000001,1.394875,0.489101,0.393210,0.005003,2.277186,2.282190,0.004259,4.182271,1.017723,50.886138,0.000061
mpi,200,9,2,0.004655,0.000001,1.425713,0.530416,0.374733,0.005037,2.330861,2.335900,0.004200,4.085962,0.994287,49.714332,0.000060
mpi,200,10,2,0.004635,0.000001,1.454879,0.437959,0.376010,0.004962,2.268848,2.273812,0.004556,4.197640,1.021463,51.073133,0.000065
mpi,500,1,2,0.010689,0.000002,3.917472,2.127747,1.108544,0.012439,7.153762,7.166203,0.010529,3.328252,0.979493,48.974663,0.000027
mpi,500,2,2,0.010769,0.000001,3.656699,2.199323,1.108710,0.012107,6.964732,6.976841,0.010719,3.418584,1.006078,50.303886,0.000021
mpi,500,3,2,0.011185,0.000002,3.663625,2.081544,1.165537,0.012440,6.910706,6.923148,0.010879,3.445310,1.013943,50.697148,0.000026
mpi,500,4,2,0.011201,0.000001,3.743286,2.282842,1.133739,0.012581,7.159866,7.172448,0.010593,3.325415,0.978658,48.932916,0.000020
mpi,500,5,2,0.013890,0.000001,3.632804,2.012578,1.110370,0.011948,6.755752,6.767701,0.010981,3.524334,1.037199,51.859970,0.000022
mpi,500,6,2,0.011183,0.000001,3.627599,1.998288,1.109971,0.012319,6.735858,6.748178,0.010274,3.534743,1.040263,52.013139,0.000015
mpi,500,7,2,0.011102,0.000001,3.761459,2.490374,1.129481,0.012634,7.381314,7.393950,0.010489,3.225648,0.949297,47.464868,0.000020
mpi,500,8,2,0.011875,0.000011,3.713622,2.017128,1.127390,0.012738,6.858140,6.870889,0.011491,3.471717,1.021715,51.085732,0.000160
mpi,500,9,2,0.011259,0.000001,3.683134,2.017383,1.097094,0.012204,6.797610,6.809815,0.011030,3.502632,1.030813,51.540629,0.000021
mpi,500,10,2,0.010800,0.000001,3.630326,2.042328,1.105918,0.012377,6.778573,6.790952,0.010409,3.512468,1.033708,51.685378,0.000021
