mode,size_mb,run,rank,threads,time_sa_local_s,time_comm_s,time_io_s,time_alloc_s
mpi+omp,50,10,3,4,4.185177,0.027648,0.046515,0.000001
mpi+omp,100,1,0,4,8.998096,0.054923,0.074145,0.000001
mpi+omp,100,1,1,4,9.018353,0.022966,0.074145,0.000001
mpi+omp,100,1,2,4,8.706073,0.038849,0.074145,0.000001
mpi+omp,100,1,3,4,8.869003,0.054922,0.074143,0.000001
mpi+omp,100,2,0,4,9.135948,0.055812,0.074246,0.000002
mpi+omp,100,2,1,4,9.137643,0.022810,0.074245,0.000001
mpi+omp,100,2,2,4,8.736744,0.039179,0.074245,0.000001
mpi+omp,100,2,3,4,9.007961,0.055803,0.074243,0.000002
mpi+omp,100,3,0,4,9.168518,0.055129,0.083996,0.000001
mpi+omp,100,3,1,4,9.176599,0.022495,0.083997,0.000001
mpi+omp,100,3,2,4,8.730690,0.038787,0.083996,0.000001
mpi+omp,100,3,3,4,9.081110,0.055127,0.083996,0.000023
mpi+omp,100,4,0,4,9.069922,0.055158,0.075389,0.000001
mpi+omp,100,4,1,4,9.045391,0.022378,0.075389,0.000001
mpi+omp,100,4,2,4,8.734855,0.038782,0.075389,0.000001
mpi+omp,100,4,3,4,8.895729,0.055148,0.075389,0.000001
mpi+omp,100,5,0,4,9.075987,0.055817,0.074103,0.000001
mpi+omp,100,5,1,4,9.058205,0.022782,0.074103,0.000001
mpi+omp,100,5,2,4,8.676565,0.039238,0.074103,0.000001
mpi+omp,100,5,3,4,8.948774,0.055815,0.074103,0.000001
mpi+omp,100,6,0,4,9.011718,0.055661,0.075154,0.000001
mpi+omp,100,6,1,4,9.042679,0.022981,0.075154,0.000001
mpi+omp,100,6,2,4,8.710906,0.039286,0.075154,0.000001
mpi+omp,100,6,3,4,8.881173,0.055658,0.075154,0.000001
mpi+omp,100,7,0,4,9.149379,0.055162,0.074466,0.000001
mpi+omp,100,7,1,4,9.173769,0.022793,0.074467,0.000001
mpi+omp,100,7,2,4,8.814763,0.038978,0.074467,0.000001
mpi+omp,100,7,3,4,9.018691,0.055162,0.074467,0.000001
mpi+omp,100,8,0,4,9.074819,0.055810,0.074572,0.000001
mpi+omp,100,8,1,4,9.079645,0.022512,0.074572,0.000001
mpi+omp,100,8,2,4,8.707694,0.039338,0.074572,0.000001
mpi+omp,100,8,3,4,8.892557,0.055805,0.074572,0.000001
mpi+omp,100,9,0,4,9.063923,0.055728,0.085152,0.000001
mpi+omp,100,9,1,4,9.061997,0.022607,0.073936,0.000001
mpi+omp,100,9,2,4,8.595815,0.039286,0.085152,0.000001
mpi+omp,100,9,3,4,8.915576,0.055718,0.073936,0.000001
mpi+omp,100,10,0,4,9.031709,0.055037,0.074034,0.000001
mpi+omp,100,10,1,4,9.037412,0.022519,0.074032,0.000001
mpi+omp,100,10,2,4,8.756491,0.038977,0.074034,0.000001
mpi+omp,100,10,3,4,8.860441,0.055037,0.074032,0.000001
mpi+omp,200,1,0,4,18.676042,0.111355,0.142846,0.000001
mpi+omp,200,1,1,4,18.233089,0.047375,0.142846,0.000001
mpi+omp,200,1,2,4,18.609105,0.079438,0.142846,0.000001
mpi+omp,200,1,3,4,18.511642,0.111351,0.142846,0.000001
mpi+omp,200,2,0,4,19.078114,0.110946,0.144291,0.000001
mpi+omp,200,2,1,4,18.499761,0.046929,0.144291,0.000001
mpi+omp,200,2,2,4,18.946148,0.078805,0.144291,0.000001
mpi+omp,200,2,3,4,19.143212,0.110944,0.144291,0.000001
mpi+omp,200,3,0,4,19.408422,0.110904,0.144942,0.000002
mpi+omp,200,3,1,4,18.955027,0.046793,0.144942,0.000002
mpi+omp,200,3,2,4,19.175492,0.078842,0.144942,0.000002
mpi+omp,200,3,3,4,19.449346,0.110902,0.144942,0.000002
mpi+omp,200,4,0,4,18.879078,0.112976,0.143461,0.000001
mpi+omp,200,4,1,4,18.262360,0.047313,0.143461,0.000001
mpi+omp,200,4,2,4,18.797747,0.079624,0.143461,0.000001
mpi+omp,200,4,3,4,18.794839,0.112971,0.143461,0.000001
mpi+omp,200,5,0,4,18.666258,0.112053,0.145399,0.000001
mpi+omp,200,5,1,4,18.055005,0.047561,0.145399,0.000001
mpi+omp,200,5,2,4,18.487518,0.079883,0.145399,0.000001
mpi+omp,200,5,3,4,18.666411,0.112049,0.145399,0.000001
mpi+omp,200,6,0,4,18.695395,0.111105,0.145663,0.000001
mpi+omp,200,6,1,4,18.065267,0.046878,0.145663,0.000001
mpi+omp,200,6,2,4,18.451189,0.078973,0.145663,0.000001
mpi+omp,200,6,3,4,18.616483,0.111103,0.145663,0.000001
mpi+omp,200,7,0,4,18.798063,0.111626,0.145346,0.000001
mpi+omp,200,7,1,4,18.669650,0.047446,0.145347,0.000001
mpi+omp,200,7,2,4,18.711723,0.079538,0.145347,0.000001
mpi+omp,200,7,3,4,18.581427,0.111619,0.145347,0.000001
mpi+omp,200,8,0,4,18.684590,0.120655,0.142932,0.000001
