mode,size_mb,streams,run,time_io_s,time_alloc_host_dev_s,time_h2d_s,time_kernel_gpu_s,time_lcp_cpu_s,time_d2h_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
cuda_ms,50,8,1,0.041794,0.112997,0.007766,4.634509,2.310152,19.385962,6.944661,7.057658,19.393728,7.199775,2.487095,248.709451,276.390905
cuda_ms,50,8,2,0.043221,0.112352,0.007788,4.634459,2.308293,19.385815,6.942752,7.055104,19.393603,7.201755,2.487778,248.777844,276.480046
cuda_ms,50,8,3,0.042125,0.113476,0.007778,4.633001,2.337913,19.386573,6.970915,7.084391,19.394352,7.172660,2.477728,247.772770,275.363523
cuda_ms,50,8,4,0.041909,0.112523,0.007777,4.634025,2.335174,19.387245,6.969199,7.081722,19.395022,7.174425,2.478338,247.833764,275.463280
cuda_ms,50,8,5,0.042326,0.113359,0.007783,4.634825,2.307717,19.385628,6.942542,7.055901,19.393411,7.201973,2.487854,248.785371,276.460369
cuda_ms,50,8,6,0.042584,0.113884,0.007792,4.633916,2.334521,19.387563,6.968437,7.082321,19.395355,7.175211,2.478609,247.860891,275.463923
cuda_ms,50,8,7,0.042887,0.112573,0.007787,4.631701,2.337343,19.387331,6.969044,7.081617,19.395118,7.174585,2.478393,247.839292,275.469445
cuda_ms,50,8,8,0.043974,0.113701,0.007780,4.650690,2.404335,19.386318,7.055025,7.168727,19.394098,7.087147,2.448188,244.818805,272.123625
cuda_ms,50,8,9,0.039900,0.113021,0.007782,4.638880,2.480351,19.390443,7.119231,7.232252,19.398225,7.023230,2.426109,242.610878,269.781046
cuda_ms,50,8,10,0.040588,0.115337,0.007999,4.715065,2.350502,19.386901,7.065567,7.180905,19.394900,7.076573,2.444535,244.453533,271.696086
cuda_ms,100,2,1,0.079622,0.115684,0.015684,5.839120,4.859222,39.387980,10.698343,10.814027,39.403664,9.347242,3.289526,328.952598,365.445253
